gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_name,team_rating,team_region,team_seed,team_slot
womens,2021-03-14,0,1.0,0.506731469876,0.071462228724,0.021413164292,0.005690331819,0.000594104793,6.1109379e-05,1,1,265,Washington State,83.63,Mercado,9,70
womens,2021-03-14,0,1.0,0.493268530124,0.068215622397,0.020139376129,0.005273064315,0.000541305072,5.4792608e-05,1,1,58,South Florida,83.45,Mercado,8,68
womens,2021-03-14,0,1.0,0.33264729212,0.07503918786,0.019588946542,0.004388749311,0.000455123191,4.6565332e-05,1,1,127,Michigan State,83.41,Mercado,10,90
womens,2021-03-14,0,1.0,0.434048804167,0.036648669767,0.014507332087,0.001601165929,0.000415737004,4.4341231e-05,1,1,269,Marquette,83.83,River Walk,10,122
womens,2021-03-14,0,1.0,0.556254415795,0.053093945771,0.013758139437,0.002273677642,0.000245410537,3.9115662e-05,1,1,333,Alabama,84.22,Hemisfair,7,56
womens,2021-03-14,0,1.0,0.329821379638,0.02336228238,0.010744550366,0.001736466767,0.000181389182,2.8112887e-05,1,1,52,Florida State,83.63,Hemisfair,9,38
womens,2021-03-14,0,1.0,0.203273970589,0.071994831101,0.015897139742,0.00123687713,0.000174496882,2.650738e-05,1,1,233,South Dakota,83.52,Alamo,11,18
womens,2021-03-14,0,1.0,0.443745584205,0.035255640251,0.008008509587,0.001158131632,0.00010864438,1.5252031e-05,1,1,153,North Carolina,82.74,Hemisfair,10,58
womens,2021-03-14,0,1.0,0.378551175427,0.009874990073,0.00357357242,0.000813896355,0.000102243686,1.3988762e-05,1,1,154,Wake Forest,82.23,Alamo,9,6
womens,2021-03-14,0,1.0,0.291232035418,0.082721283297,0.007835633482,0.000654866857,0.00013389162,1.0894799e-05,1,1,526,Florida Gulf Coast,81.37,River Walk,11,114
womens,2021-03-14,0,1.0,0.359621367051,0.012395732788,0.004210718049,0.000588738402,0.000124385634,1.0521339e-05,1,1,2571,South Dakota State,81.43,River Walk,9,102
womens,2021-03-14,0,1.0,0.299269468154,0.040426006868,0.010316899211,0.000665310726,7.8562602e-05,1.0144312e-05,1,1,2116,Central Florida,81.85,Alamo,10,26
womens,2021-03-14,0,1.0,0.318409443773,0.105502285493,0.008093752822,0.000945693064,7.1882665e-05,8.30892e-06,1,1,2617,Stephen F. Austin,81.04,Hemisfair,12,42
womens,2021-03-14,0,1.0,0.2246262994,0.032343514132,0.006400416685,0.001028884181,7.4431013e-05,5.40806e-06,1,1,252,Brigham Young,79.99,Mercado,11,82
